length,num_links,num_special_chars,num_keywords,num_urls,num_domains,num_ip_addresses,html_tags,js_code
28,0,0,0,0,0,0,False,False
102,2,11,0,1,1,0,True,False
249,0,5,2,0,0,0,False,False
1312,0,31,0,0,0,0,False,False
1160,6,56,0,6,4,0,True,False
1074,0,25,2,0,0,1,False,False
229,0,6,0,0,0,0,False,False
1581,1,40,3,1,1,0,True,False
4126,3,46,4,3,1,0,True,False
199,0,4,0,0,0,0,False,False
1409,6,59,1,6,4,0,True,False
455,1,24,0,1,1,0,True,False
648,1,26,1,1,1,0,True,False
250,0,4,0,0,0,0,False,False
416,0,15,0,0,0,0,True,False
634,2,29,8,1,1,0,True,False
282,0,8,0,0,0,0,False,False
660,2,38,3,2,1,0,True,False
866,2,41,3,2,1,0,True,False
220,0,4,1,0,0,0,False,False
1276,6,54,1,6,4,0,True,False
1270,6,55,1,6,4,0,True,False
1153,5,54,0,5,4,0,False,False
664,4,32,0,4,2,0,False,False
653,4,26,0,4,2,0,False,False
320,0,10,1,0,0,0,False,False
55,0,0,0,0,0,0,False,False
468,0,18,0,0,0,0,False,False
988,3,44,1,3,2,0,False,False
209,0,5,0,0,0,0,False,False
121,1,4,0,1,1,0,False,False
1120,5,49,0,5,4,0,False,False
1125,6,41,1,6,3,0,False,False
317,1,9,3,1,1,0,False,False
1276,6,44,1,6,3,0,False,False
1318,6,45,1,6,3,0,False,False
1146,6,41,1,6,3,0,False,False
122,0,4,0,0,0,0,False,False
193,0,5,0,0,0,0,False,False
1168,0,21,1,0,0,0,False,False
771,5,40,2,5,4,0,False,False
196,0,5,0,0,0,0,False,False
61,0,2,0,0,0,0,False,False
478,1,21,7,1,1,1,False,False
1312,0,31,0,0,0,0,False,False
5269,1,180,2,1,1,0,False,False
718,2,21,6,2,2,0,False,False
60,0,2,0,0,0,0,False,False
540,0,12,0,0,0,0,False,False
686,0,15,0,0,0,0,False,False
540,0,12,0,0,0,0,False,False
540,0,12,0,0,0,0,False,False
540,0,12,0,0,0,0,False,False
540,0,12,0,0,0,0,False,False
686,0,15,0,0,0,0,False,False
686,0,15,0,0,0,0,False,False
686,0,15,0,0,0,0,False,False
540,0,12,0,0,0,0,False,False
686,0,15,0,0,0,0,False,False
540,0,12,0,0,0,0,False,False
686,0,15,0,0,0,0,False,False
540,0,12,0,0,0,0,False,False
540,0,12,0,0,0,0,False,False
686,0,15,0,0,0,0,False,False
686,0,15,0,0,0,0,False,False
903,3,29,1,3,2,0,False,False
70,0,2,0,0,0,0,False,False
3106,3,31,0,3,2,0,False,False
607,2,22,7,2,2,0,False,False
134,0,5,0,0,0,0,False,False
449,0,7,0,0,0,0,False,False
226,0,5,0,0,0,0,False,False
476,0,8,0,0,0,0,False,False
315,0,3,0,0,0,0,False,False
480,0,8,0,0,0,0,False,False
517,2,15,5,1,1,0,False,False
390,0,11,0,0,0,0,False,False
68,0,5,1,0,0,0,False,False
1534,0,25,0,0,0,0,False,False
247,0,6,0,0,0,0,False,False
99,0,1,0,0,0,0,False,False
215,0,9,0,0,0,0,False,False
206,0,3,0,0,0,0,False,False
304,0,11,0,0,0,0,False,False
667,0,17,0,0,0,0,False,False
49,0,1,0,0,0,0,False,False
227,0,8,0,0,0,0,False,False
1590,9,54,2,9,3,0,True,False
3304,25,160,0,23,2,0,True,False
900,0,18,3,0,0,0,False,False
573,1,17,3,1,1,0,True,False
739,3,27,6,3,2,0,True,False
928,3,46,1,3,2,0,True,False
3469,10,81,4,10,2,0,True,False
1456,6,66,1,6,4,0,True,False
978,0,26,1,0,0,0,False,False
1124,0,29,1,0,0,0,False,False
651,1,21,1,1,1,0,False,False
879,1,23,0,1,1,0,False,False
533,0,18,1,0,0,0,False,False
336,1,10,0,1,1,0,False,False
746,0,12,2,0,0,0,False,False
311,1,15,2,1,1,0,False,False
1331,7,70,0,7,4,0,True,False
1648,2,36,3,2,2,0,True,False
1754,2,39,3,2,2,0,True,False
606,1,28,1,1,1,0,True,False
491,0,7,2,0,0,0,False,False
