Word_Count,Homoglyphs,Total_Abnormal_Count,html_tags,js_code,Label
266,0,0,0,0,0
908,0,0,0,0,0
11,0,1,0,0,0
133,0,0,0,0,0
174,0,8,0,0,0
39,0,0,0,0,0
20,0,0,0,0,0
1959,0,0,1001,0,0
185,0,0,0,0,0
28,0,0,0,0,0
117,0,0,0,0,0
30,0,0,0,0,0
1216,0,0,0,0,0
12,0,0,0,0,1
958,0,4,6,0,0
166,0,2,2,0,0
50,0,2,0,0,0
15,0,0,0,0,0
2705,0,40,751,0,0
111,0,1,2,0,1
153,0,0,2,0,0
205,0,2,0,0,0
130,0,0,0,0,0
338,0,0,0,0,0
148,0,10,0,0,0
55,3,0,0,0,1
35,0,1,0,0,0
453,0,0,0,0,0
269,0,3,0,0,0
54,0,0,0,0,0
80,0,3,0,0,0
19,0,0,0,0,0
58,0,1,6,0,1
516,0,11,0,0,0
163,0,0,2,0,0
67,0,1,0,0,0
53,0,0,0,0,0
117,0,0,1,0,1
